Annotator 192.168.1.8:8080.run checkpoint 1
Annotator.run checkpoint 2
Beginning admin_task
{:task=>"tag", :element_type=>"ReutersNewItem"}
Proceding to tag all ReutersNewItem
ReutersNewItem 32 already annotated!
ReutersNewItem 33 already annotated!
ReutersNewItem 34 already annotated!
ReutersNewItem 35 already annotated!
ReutersNewItem 36 already annotated!
ReutersNewItem 37 already annotated!
ReutersNewItem 38 already annotated!
ReutersNewItem 39 already annotated!
ReutersNewItem 40 already annotated!
ReutersNewItem 41 already annotated!
ReutersNewItem 42 already annotated!
ReutersNewItem 43 already annotated!
ReutersNewItem 44 already annotated!
ReutersNewItem 45 already annotated!
ReutersNewItem 46 already annotated!
ReutersNewItem 47 already annotated!
ReutersNewItem 48 already annotated!
ReutersNewItem 49 already annotated!
ReutersNewItem 50 already annotated!
ReutersNewItem 51 already annotated!
ReutersNewItem 52 already annotated!
ReutersNewItem 53 already annotated!
ReutersNewItem 54 already annotated!
ReutersNewItem 55 already annotated!
ReutersNewItem 56 already annotated!
ReutersNewItem 57 already annotated!
ReutersNewItem 58 already annotated!
ReutersNewItem 59 already annotated!
ReutersNewItem 60 already annotated!
ReutersNewItem 61 already annotated!
ReutersNewItem 62 already annotated!
ReutersNewItem 63 already annotated!
ReutersNewItem 64 already annotated!
ReutersNewItem 65 already annotated!
ReutersNewItem 67 already annotated!
ReutersNewItem 68 already annotated!
ReutersNewItem 69 already annotated!
ReutersNewItem 70 already annotated!
ReutersNewItem 71 already annotated!
ReutersNewItem 72 already annotated!
ReutersNewItem 73 already annotated!
ReutersNewItem 74 already annotated!
ReutersNewItem 75 already annotated!
ReutersNewItem 76 already annotated!
ReutersNewItem 77 already annotated!
ReutersNewItem 78 already annotated!
ReutersNewItem 79 already annotated!
ReutersNewItem 80 already annotated!
ReutersNewItem 81 already annotated!
ReutersNewItem 82 already annotated!
ReutersNewItem 83 already annotated!
ReutersNewItem 84 already annotated!
ReutersNewItem 85 already annotated!
ReutersNewItem 86 already annotated!
ReutersNewItem 87 already annotated!
ReutersNewItem 88 already annotated!
ReutersNewItem 89 already annotated!
ReutersNewItem 90 already annotated!
ReutersNewItem 91 already annotated!
ReutersNewItem 92 already annotated!
ReutersNewItem 93 already annotated!
ReutersNewItem 94 already annotated!
ReutersNewItem 95 already annotated!
ReutersNewItem 96 already annotated!
ReutersNewItem 97 already annotated!
ReutersNewItem 98 already annotated!
ReutersNewItem 99 already annotated!
ReutersNewItem 100 already annotated!
ReutersNewItem 101 already annotated!
ReutersNewItem 102 already annotated!
ReutersNewItem 103 already annotated!
ReutersNewItem 104 already annotated!
ReutersNewItem 105 already annotated!
ReutersNewItem 106 already annotated!
ReutersNewItem 107 already annotated!
ReutersNewItem 108 already annotated!
